Customer_ID,Age,Gender,Account_Age_Months,Contract_Type,Internet_Service,Phone_Service,Streaming_Service,Monthly_Charges,Total_Charges,Monthly_Usage_GB,Number_of_Sessions,Support_Calls,Complaints,Payment_Method,Payment_Delay_Rate,Usage_Change_Percentage,Churn,Customer_Lifetime_Months,Average_Monthly_Spend,Support_Calls_Per_Month,Service_Count
CUST-10000,23,Male,6,One year,Fiber optic,Yes,No,67.48,381.74,49.69,20,0,0,Bank transfer,0.0397,8.91,No,6,63.623333333333335,0.0,2
CUST-10001,62,Female,37,One year,Fiber optic,No,No,67.56,2439.08,68.0,9,0,1,Bank transfer,0.1503,0.87,No,37,65.92108108108108,0.0,1
CUST-10002,55,Female,42,Month-to-month,Fiber optic,Yes,No,75.03,3212.36,30.29,15,2,0,Mailed check,0.0095,-25.63,Yes,42,76.48476190476191,0.047619047619047616,2
CUST-10003,43,Female,53,Month-to-month,Cable,Yes,Yes,62.28,3319.47,55.51,20,2,0,Electronic check,0.2244,-17.61,No,53,62.63150943396226,0.03773584905660377,3
CUST-10004,43,Male,42,Month-to-month,DSL,Yes,No,43.88,1692.32,71.36,13,1,0,Electronic check,0.0902,-8.37,No,42,40.29333333333333,0.023809523809523808,2
CUST-10005,67,Male,14,Month-to-month,Fiber optic,Yes,No,73.59,1211.88,78.73,13,0,0,Bank transfer,0.2162,23.84,Yes,14,86.56285714285715,0.0,2
CUST-10006,22,Female,27,Month-to-month,Fiber optic,Yes,Yes,89.03,2378.79,75.2,16,1,0,Electronic check,0.2058,13.11,No,27,88.10333333333334,0.037037037037037035,3
CUST-10007,58,Female,32,Two year,Fiber optic,Yes,No,42.31,1457.06,103.22,16,4,0,Credit card,0.376,-0.53,No,32,45.533125,0.125,2
CUST-10008,29,Female,71,Month-to-month,DSL,Yes,No,41.72,2948.2,50.74,22,4,0,Bank transfer,0.1005,-5.72,No,71,41.52394366197183,0.056338028169014086,2
CUST-10009,23,Female,39,Month-to-month,DSL,Yes,No,45.29,1660.72,30.83,23,1,0,Credit card,0.0341,3.24,No,39,42.582564102564106,0.02564102564102564,2
CUST-10010,48,Male,46,One year,Fiber optic,Yes,Yes,71.4,3260.51,58.27,26,4,1,Credit card,0.0643,11.8,No,46,70.88065217391305,0.08695652173913043,3
CUST-10011,74,Male,53,Month-to-month,Fiber optic,Yes,Yes,88.92,4778.88,53.32,19,0,2,Bank transfer,0.3429,5.25,No,53,90.16754716981133,0.0,3
CUST-10012,60,Male,27,Month-to-month,Cable,Yes,No,57.57,1843.94,71.34,18,4,1,Credit card,0.1329,-15.05,No,27,68.29407407407408,0.14814814814814814,2
CUST-10013,62,Male,70,Month-to-month,Cable,Yes,Yes,64.85,4661.18,59.94,24,2,1,Electronic check,0.2129,18.87,Yes,70,66.58828571428572,0.02857142857142857,3
