Customer_ID,Age,Gender,Account_Age_Months,Contract_Type,Internet_Service,Phone_Service,Streaming_Service,Monthly_Charges,Total_Charges,Monthly_Usage_GB,Number_of_Sessions,Support_Calls,Complaints,Payment_Method,Payment_Delay_Rate,Usage_Change_Percentage,Churn
CUST-10000,23,Male,6,One year,Fiber optic,Yes,No,67.48,381.74,49.69,20,0,0,Bank transfer,0.0397,8.91,No
CUST-10001,62,Female,37,One year,Fiber optic,No,No,67.56,2439.08,68.0,9,0,1,Bank transfer,0.1503,0.87,No
CUST-10002,55,Female,42,Month-to-month,Fiber optic,Yes,No,75.03,3212.36,30.29,15,2,0,Mailed check,0.0095,-25.63,Yes
CUST-10003,43,Female,53,Month-to-month,Cable,Yes,Yes,62.28,3319.47,55.51,20,2,0,Electronic check,0.2244,-17.61,No
CUST-10004,43,Male,42,Month-to-month,DSL,Yes,No,43.88,1692.32,71.36,13,1,0,Electronic check,0.0902,-8.37,No
CUST-10005,67,Male,14,Month-to-month,Fiber optic,Yes,No,73.59,1211.88,78.73,13,0,0,Bank transfer,0.2162,23.84,Yes
CUST-10006,22,Female,27,Month-to-month,Fiber optic,Yes,Yes,89.03,2378.79,75.2,16,1,0,Electronic check,0.2058,13.11,No
CUST-10007,58,Female,32,Two year,None,Yes,No,42.31,1457.06,103.22,16,4,0,Credit card,0.376,-0.53,No
CUST-10008,29,Female,71,Month-to-month,DSL,Yes,No,41.72,2948.2,50.74,22,4,0,Bank transfer,0.1005,-5.72,No
CUST-10009,23,Female,39,Month-to-month,DSL,Yes,No,45.29,1660.72,30.83,23,1,0,Credit card,0.0341,3.24,No
CUST-10010,48,Male,46,One year,Fiber optic,Yes,Yes,71.4,3260.51,58.27,26,4,1,Credit card,0.0643,11.8,No
CUST-10011,74,Male,53,Month-to-month,Fiber optic,Yes,Yes,88.92,4778.88,53.32,19,0,2,Bank transfer,0.3429,5.25,No
CUST-10012,60,Male,27,Month-to-month,Cable,Yes,No,57.57,1843.94,71.34,18,4,1,Credit card,0.1329,-15.05,No
CUST-10013,62,Male,70,Month-to-month,Cable,Yes,Yes,64.85,4661.18,59.94,24,2,1,Electronic check,0.2129,18.87,Yes
CUST-10014,59,Male,49,Two year,DSL,Yes,Yes,60.92,2919.65,70.3,24,2,0,Bank transfer,0.0039,7.42,No
CUST-10015,63,Female,62,Month-to-month,Cable,Yes,No,61.31,3619.13,69.33,12,1,1,Bank transfer,0.2098,-4.43,No
CUST-10016,47,Male,54,One year,DSL,Yes,No,47.25,2554.71,88.09,15,2,0,Electronic check,0.2887,5.88,No
CUST-10017,25,Male,45,One year,Cable,Yes,Yes,68.97,3110.44,66.51,15,3,0,Electronic check,0.1225,16.22,No
CUST-10018,66,Female,3,Month-to-month,Fiber optic,Yes,Yes,79.71,357.71,71.75,21,0,0,Bank transfer,0.1525,6.27,No
CUST-10019,44,Male,43,One year,Fiber optic,Yes,No,81.49,3662.44,109.58,17,0,0,Bank transfer,0.0886,6.94,No
CUST-10020,47,Male,10,Month-to-month,Cable,No,No,50.25,577.87,27.53,10,1,2,Credit card,0.2734,20.05,Yes
CUST-10021,39,Female,44,Month-to-month,None,Yes,Yes,47.82,2218.26,71.21,22,2,1,Electronic check,0.2029,-5.83,No
CUST-10022,28,Male,51,Month-to-month,Cable,Yes,No,53.59,2708.86,64.04,9,1,0,Electronic check,0.3297,-9.82,No
CUST-10023,71,Female,40,Two year,Cable,Yes,Yes,62.68,2610.54,67.96,14,2,1,Mailed check,0.0795,-3.63,No
CUST-10024,63,Female,23,Month-to-month,Cable,Yes,No,61.23,1446.25,80.73,24,4,0,Electronic check,0.1513,12.11,No
CUST-10025,55,Male,5,Month-to-month,Cable,Yes,No,51.62,498.31,46.79,20,1,1,Mailed check,0.0039,13.5,No
CUST-10026,41,Female,49,Two year,Fiber optic,Yes,No,72.33,3571.7,53.11,15,4,0,Credit card,0.0268,3.94,No
CUST-10027,65,Female,51,Month-to-month,DSL,Yes,No,48.32,2441.95,84.42,18,2,1,Credit card,0.0344,-8.16,No
CUST-10028,49,Female,35,Two year,Cable,Yes,Yes,71.3,2587.63,63.06,22,0,2,Electronic check,0.2109,23.36,No
CUST-10029,43,Female,52,One year,DSL,Yes,Yes,45.31,2539.01,43.76,19,2,2,Mailed check,0.0262,-11.94,No
CUST-10030,44,Female,57,One year,Cable,Yes,No,68.11,3979.94,85.67,13,2,1,Mailed check,0.0665,-3.5,No
CUST-10031,31,Female,37,One year,DSL,Yes,Yes,47.45,1807.93,81.98,18,5,0,Credit card,0.2771,-6.45,No
CUST-10032,23,Female,4,One year,Fiber optic,Yes,No,82.55,324.71,70.54,20,3,0,Credit card,0.044,14.73,No
CUST-10033,50,Male,63,Month-to-month,Fiber optic,Yes,Yes,79.54,4905.53,76.57,21,0,0,Bank transfer,0.3383,-0.13,No
CUST-10034,69,Female,34,Two year,Cable,Yes,Yes,70.6,2542.44,80.23,19,2,0,Electronic check,0.1704,21.74,No
CUST-10035,21,Female,49,Two year,Fiber optic,Yes,No,69.69,3557.16,64.47,15,2,1,Mailed check,0.0928,11.61,No
CUST-10036,67,Female,66,Two year,Cable,Yes,No,58.57,3612.55,74.05,16,2,1,Electronic check,0.0557,-9.17,No
CUST-10037,66,Male,27,One year,Fiber optic,Yes,No,63.33,1607.95,38.01,17,2,1,Bank transfer,0.1751,-1.8,No
CUST-10038,34,Male,45,Month-to-month,DSL,Yes,Yes,63.36,2937.52,61.64,17,3,2,Bank transfer,0.1282,-4.41,No
CUST-10039,54,Female,2,Month-to-month,Cable,Yes,Yes,70.12,80.32,89.75,19,0,1,Credit card,0.053,18.61,No
CUST-10040,27,Female,64,Month-to-month,DSL,Yes,Yes,61.97,4033.28,119.35,12,1,1,Credit card,0.2397,12.15,No
CUST-10041,61,Male,5,Month-to-month,Cable,Yes,Yes,77.48,268.49,69.56,17,1,0,Credit card,0.1438,-17.03,No
CUST-10042,58,Male,39,One year,Fiber optic,No,No,52.2,1935.45,44.91,18,0,0,Electronic check,0.2562,8.3,No
CUST-10043,38,Male,26,One year,DSL,Yes,Yes,59.57,1410.96,58.09,22,1,2,Electronic check,0.1568,1.25,No
CUST-10044,21,Female,3,Month-to-month,DSL,Yes,Yes,48.58,132.12,31.76,24,3,0,Electronic check,0.1712,-13.3,Yes
CUST-10045,74,Male,34,Month-to-month,Cable,Yes,No,66.18,2249.81,82.71,18,1,1,Mailed check,0.1636,-7.92,No
CUST-10046,43,Female,68,One year,Fiber optic,Yes,Yes,84.12,5575.17,67.7,20,1,1,Electronic check,0.0524,-0.59,No
CUST-10047,69,Male,13,Month-to-month,Fiber optic,Yes,Yes,77.35,881.7,43.66,16,0,2,Mailed check,0.0336,-24.56,Yes
CUST-10048,57,Male,22,Two year,Cable,Yes,No,64.22,1361.22,62.01,28,3,0,Electronic check,0.3172,4.66,No
CUST-10049,63,Male,14,One year,None,Yes,No,39.5,511.49,83.53,20,2,2,Mailed check,0.1095,3.02,No
