Feature,Importance
Contract_Type,0.07796859458658703
Support_Calls,0.03764487616306553
Customer_Lifetime_Months,0.029798813479214675
Account_Age_Months,0.029798813479214675
Complaints,0.024074309214935086
Payment_Delay_Rate,0.011858153626930185
Monthly_Charges,0.010076961603848744
Total_Charges,0.00311267714924629
Payment_Method,0.0028375623417207785
Number_of_Sessions,0.00136322914241771
Streaming_Service,0.0008359257613273496
Usage_Change_Percentage,0.0006331167686002559
Phone_Service,0.0006242989863076975
Age,0.0005784465183867604
Gender,0.0002962774850273908
Support_Calls_Per_Month,-3.350757271153304e-05
Average_Monthly_Spend,-7.406937125692403e-05
Service_Count,-0.00012521250855324073
Monthly_Usage_GB,-0.0010722423267658932
Internet_Service,-0.0018217538216269147
